frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
122,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,626,465,631.0,586.0,616.0,611.0
123,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,626,465,631.0,586.0,616.0,611.0
124,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,318,617,324,641,453,626,465,631.0,585.0,615.0,612.0
125,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,627,465,631.0,585.0,615.0,612.0
126,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,627,465,631.0,585.0,615.0,612.0
127,640,74,,,627,63,,,592,75,602,146,599,156,,,632,267,,,655,350,623,317,617,324,643,454,627,467,631.0,585.0,617.0,609.0
128,640,73,,,627,63,,,592,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,626,465,631.0,585.0,615.0,611.0
129,640,74,,,627,63,,,592,75,602,147,599,156,,,632,267,,,655,350,623,317,616,324,643,453,627,467,631.0,585.0,618.0,608.0
130,640,73,,,627,63,,,592,75,604,146,600,155,,,632,265,,,657,351,623,318,617,324,641,453,626,465,631.0,585.0,615.0,611.0
131,640,73,,,627,63,,,592,75,604,146,600,155,,,632,265,,,657,351,623,317,616,324,641,453,626,464,631.0,585.0,615.0,611.0
132,640,73,,,627,63,,,591,75,604,146,599,155,,,632,265,,,657,350,623,317,617,324,641,453,626,464,631.0,585.0,615.0,611.0
133,640,73,,,627,63,,,591,75,603,146,600,155,,,632,265,,,657,350,622,317,617,324,640,452,626,464,631.0,584.0,615.0,611.0
134,640,73,,,627,63,,,591,75,603,146,600,155,,,632,265,,,657,350,622,317,617,324,640,452,626,464,631.0,584.0,615.0,611.0
135,640,73,,,627,63,,,591,75,603,146,600,155,,,632,265,,,657,350,622,317,617,324,640,452,626,464,631.0,585.0,615.0,611.0
136,640,73,,,627,63,,,591,75,604,146,600,155,,,632,264,,,657,350,623,318,617,324,641,453,626,465,631.0,585.0,615.0,611.0
137,640,73,,,627,64,,,591,75,604,146,600,155,,,632,264,,,657,350,623,318,617,324,640,453,626,464,631.0,585.0,616.0,611.0
138,640,73,,,627,64,,,591,75,603,146,600,155,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,585.0,615.0,611.0
139,640,73,,,627,64,,,591,75,604,146,600,155,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,585.0,615.0,611.0
140,640,73,,,627,64,,,591,75,604,146,600,155,,,632,264,,,657,349,623,318,617,324,640,452,626,464,631.0,585.0,615.0,611.0
141,640,74,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,625,464,631.0,585.0,615.0,611.0
142,640,73,,,627,64,,,591,75,604,146,600,155,,,632,264,,,657,350,623,318,617,324,640,452,626,464,631.0,585.0,615.0,611.0
143,640,73,,,627,64,,,592,75,603,146,600,155,,,632,264,,,657,350,622,318,617,324,640,453,626,464,631.0,585.0,615.0,611.0
144,640,73,,,627,64,,,591,75,603,146,600,155,,,632,264,,,657,350,623,318,617,324,640,452,626,464,631.0,585.0,615.0,611.0
145,640,73,,,627,64,,,591,75,603,146,600,155,,,632,264,,,657,350,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
146,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,624,318,617,324,640,453,625,464,631.0,586.0,616.0,612.0
147,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
148,640,73,,,627,64,,,591,75,604,146,600,155,,,632,264,,,657,350,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
149,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,350,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
150,640,73,,,627,64,,,591,75,604,146,600,155,,,632,264,,,657,350,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
151,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
152,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
153,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
154,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
155,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,611.0
156,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
157,640,73,,,627,64,,,591,75,604,146,599,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
158,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
159,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
160,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
161,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
162,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
163,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
164,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
165,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
166,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
167,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
168,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
169,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
170,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
171,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
172,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
173,640,73,,,627,64,,,591,75,604,146,600,154,,,632,264,,,657,349,623,318,617,324,640,453,626,464,631.0,586.0,616.0,612.0
174,640,73,,,627,64,,,591,75,605,146,599,154,,,632,264,,,657,349,624,318,616,324,641,453,625,464,632.0,587.0,616.0,612.0
175,640,73,,,627,64,,,591,75,605,146,599,154,,,632,264,,,657,349,624,318,616,324,641,453,625,464,632.0,587.0,616.0,611.0
176,640,73,,,627,64,,,591,75,605,146,599,154,,,632,264,,,656,349,624,318,616,324,641,453,625,464,632.0,587.0,616.0,611.0
177,640,73,,,627,64,,,591,75,605,146,599,154,,,632,264,,,657,349,624,318,616,324,641,453,625,464,632.0,587.0,616.0,611.0
178,640,73,,,627,64,,,591,75,605,146,599,154,,,632,264,,,657,349,624,318,616,324,641,453,625,464,632.0,586.0,616.0,611.0
179,640,73,,,627,64,,,591,75,605,146,599,154,,,632,264,,,657,349,624,318,616,324,641,453,625,464,632.0,586.0,616.0,611.0
180,640,73,,,627,63,,,591,75,605,146,599,154,,,632,264,,,657,349,624,318,616,324,641,453,625,464,632.0,587.0,616.0,612.0
