frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
113,0,"tensor([137.1083, 121.9991])","tensor([149.2209, 111.8178])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,"tensor([140.4875, 125.5794])","tensor([152.6535, 115.8244])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,"tensor([143.0146, 127.5541])","tensor([154.9490, 117.7039])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,"tensor([143.9299, 128.9483])","tensor([155.4968, 119.1161])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,"tensor([143.7781, 128.5526])","tensor([155.4262, 118.8295])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0,"tensor([143.0010, 130.1466])","tensor([154.8136, 120.4932])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,"tensor([142.1792, 130.8096])","tensor([153.8907, 121.0787])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,"tensor([141.3663, 128.9339])","tensor([152.7841, 119.6670])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,"tensor([140.2611, 128.6513])","tensor([151.4755, 119.3932])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,"tensor([139.7839, 127.9553])","tensor([150.6288, 118.9038])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,"tensor([139.5572, 129.7598])","tensor([150.9792, 120.3500])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,"tensor([138.9495, 129.5357])","tensor([150.3954, 120.0916])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,"tensor([139.2651, 126.2318])","tensor([150.0642, 117.2955])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0,"tensor([140.3188, 125.5746])","tensor([150.9012, 116.6599])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,"tensor([142.4285, 127.3176])","tensor([153.9214, 117.7292])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,"tensor([143.4996, 125.7595])","tensor([155.6305, 116.1397])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,"tensor([144.2571, 124.1124])","tensor([156.1996, 114.5514])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,"tensor([143.7500, 122.5078])","tensor([156.0192, 112.8241])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0,"tensor([142.3021, 121.7014])","tensor([154.8017, 111.7502])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0,"tensor([141.0923, 121.7865])","tensor([153.6146, 111.6291])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0,"tensor([140.8372, 120.7427])","tensor([153.2780, 110.7230])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0,"tensor([138.7986, 119.4633])","tensor([151.2175, 109.4969])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0,"tensor([138.6942, 118.3877])","tensor([151.2478, 108.1681])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,"tensor([135.3223, 116.1029])","tensor([148.3260, 105.8512])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0,"tensor([131.2728, 119.0054])","tensor([144.3903, 108.7368])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0,"tensor([124.2101, 121.2826])","tensor([136.5729, 110.9720])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,"tensor([121.7590, 120.6466])","tensor([132.4238, 110.1943])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,"tensor([118.0035, 121.7321])","tensor([127.9070, 110.5905])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,"tensor([108.7910, 123.1656])","tensor([120.4127, 112.2909])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
